date,actual,predicted
2012-12-31,-0.005475213794062461,-0.01654042418972545
2013-03-31,-0.02833074086372933,-0.00533281478200197
2013-06-30,0.04151377796963818,0.019796223977361478
2013-09-30,0.05120544349267764,-0.007613993647194217
2013-12-31,-0.019615896433324065,-0.016074880547036118
2014-03-31,0.026761625471302786,-0.015309217442666265
2014-06-30,0.031466248857553225,-0.016074880547036118
2014-09-30,0.04061708860759494,-0.015309217442666265
2014-12-31,7.602597047151605e-05,-0.016074880547036118
2015-03-31,0.19666423402055577,-0.016074880547036118
2015-06-30,-0.02628736961134337,0.1324705818663452
2015-09-30,0.06288003340379444,0.14011314156666715
2015-12-31,0.009722921295898468,0.13025180500533579
2016-03-31,-0.06380624688446057,0.1330400143481172
2016-06-30,0.00019480266490035092,0.13218363852729434
2016-09-30,0.037706450607665865,0.1391516354295067
2016-12-31,0.11380130130130128,0.13025180500533579
2017-03-31,-0.06444981182946696,0.1330400143481172
2017-06-30,0.00631619395278471,0.13354195481298972
2017-09-30,0.1006873180277792,0.13884870620346315
2017-12-31,0.04373278983543294,0.02904620010436778
2018-03-31,-0.042378162782001794,0.014224923383437805
2018-06-30,0.014447481452557698,0.014224923383437805
2018-09-30,0.0488837567359508,-0.035962037900254894
2018-12-31,0.010356778797145694,0.02904620010436778
2019-03-31,-0.034313329835747974,0.007044958649222596
2019-06-30,0.017656584652353313,0.009122930167435385
2019-09-30,0.06775832862789377,-0.0325016560169093
2019-12-31,0.00820152877265512,0.02904620010436778
2020-03-31,-0.008201567834595358,0.02904620010436778
2020-06-30,-0.04036616088770939,0.006160132161260937
2020-09-30,0.16443887775551103,-0.020639230311766572
2020-12-31,-0.047155604891103264,0.00243846536037503
2021-03-31,0.07362888441357884,0.00243846536037503
2021-06-30,0.030315265300629113,0.00243846536037503
2021-09-30,0.07941186075370643,0.020558773087741542
2021-12-31,-0.038051658283855816,0.00243846536037503
2022-03-31,0.0038212353755189277,-0.01940189198220454
2022-06-30,0.03229419597399552,-0.02382673929173215
2022-09-30,0.07618007026169837,-0.01871826848421747
2022-12-31,-0.03345483773169855,0.018638578403678316
2023-03-31,-0.045963176937441674,0.04033316084802438
2023-06-30,-0.0006881417877924179,0.034882453220690314
2023-09-30,0.03415533638874657,0.034882453220690314
2023-12-31,-0.05235977833842598,-0.010081249991115846
2024-03-31,-0.00629274538584057,0.02168772811903312
2024-06-30,0.0027734565282295787,0.02332506382054466
2024-09-30,0.10133118129608021,0.03666287626887852
2024-12-31,0.01659030761788216,-0.020141416011158528
2025-03-31,0.06826643153062362,0.023839229631275743
